species	specieskey	year	month	countrycode	occurrences
Anser brachyrhynchus	2498024	2019	12	FR	3
Cygnus atratus	2498344	2018	5	DE	5
Phalacrocorax aristotelis	2481861	2022	2	DE	1
Mergellus albellus	2498285	2020	10	DE	1
Passer italiae	8426551	2023	6	DE	1
Phylloscopus inornatus	2493095	2019	11	DE	2
Aquila chrysaetos	2480506	2024	11	DE	3
Calidris pugnax	8250742	2018	11	DE	3
Circus macrourus	2480491	2024	11	FR	2
Tringa stagnatilis	2481719	2022	5	DE	2
Montifringilla nivalis	2492371	2023	10	FR	2
Apus apus	5228676	2024	3	DE	1
Alcedo atthis	2475532	2024	2	DE	294
Mareca strepera	9362027	2022	2	DE	614
Aythya ferina	2498255	2020	1	FR	173
Phylloscopus collybita	2493091	2022	9	DE	1291
Podiceps cristatus	2482054	2024	5	DE	1788
Spatula querquedula	9274012	2019	4	FR	122
Parus major	9705453	2021	2	DE	3153
Tringa totanus	2481714	2024	10	FR	248
Aegithalos caudatus	2495000	2024	8	DE	493
Dendrocopos major	2477968	2023	1	DE	1912
Turdus viscivorus	2490774	2019	6	DE	79
Phasianus colchicus	9752149	2023	5	FR	620
Chloris chloris	5845582	2024	11	FR	480
Thalasseus sandvicensis	2481240	2020	8	FR	188
Erithacus rubecula	2492462	2020	1	FR	1168
Merops apiaster	2475443	2023	7	DE	96
Periparus ater	2487871	2023	1	DE	303
Egretta garzetta	2480876	2024	9	DE	77
Buteo buteo	2480537	2022	2	DE	1443
Morus bassanus	2480964	2017	5	FR	24
Monticola saxatilis	2490956	2024	7	FR	27
Alopochen aegyptiaca	2498252	2019	6	DE	281
Emberiza schoeniclus	2491557	2019	6	DE	176
Haliaeetus albicilla	2480449	2024	7	DE	216
Spinus spinus	6092830	2023	10	DE	1563
Sylvia atricapilla	2492956	2023	8	DE	1219
Larus fuscus	2481174	2022	8	FR	238
Fringilla montifringilla	2494441	2024	11	DE	542
Haliaeetus albicilla	2480449	2024	9	DE	353
Alauda arvensis	8077224	2022	10	FR	549
Certhia brachydactyla	7806848	2023	3	FR	747
Fringilla montifringilla	2494441	2024	3	DE	321
Sturnus vulgaris	9809229	2018	2	FR	448
Oriolus oriolus	2488949	2017	8	FR	48
Turdus viscivorus	2490774	2023	11	FR	214
Calidris pugnax	8250742	2023	4	DE	422
Turdus merula	2490719	2017	3	DE	685
Vanellus vanellus	2480242	2024	7	DE	626
Chloris chloris	5845582	2018	5	FR	342
Thalasseus sandvicensis	2481240	2019	2	FR	27
Prunella modularis	5231763	2019	7	FR	157
Psittacula krameri	2479226	2019	3	FR	105
Turdus pilaris	2490737	2022	4	DE	621
Garrulus glandarius	5229493	2017	4	FR	251
Numenius arquata	2481792	2018	10	FR	101
Spinus spinus	6092830	2016	12	FR	87
Actitis hypoleucos	2481800	2024	9	DE	327
Spatula clypeata	8332393	2022	9	FR	208
Lullula arborea	2490604	2021	8	FR	25
Milvus milvus	5229168	2017	6	DE	176
Anas crecca	8214667	2019	1	DE	135
Calidris minuta	2481749	2020	6	FR	9
Certhia brachydactyla	7806848	2018	1	DE	123
Prunella modularis	5231763	2018	11	FR	153
Saxicola rubicola	4408759	2021	3	DE	248
Luscinia svecica	4408732	2019	5	FR	56
Tringa totanus	2481714	2016	7	DE	27
Ciconia ciconia	2481912	2016	8	DE	45
Tyto alba	2497921	2024	8	FR	39
Columba oenas	2495471	2021	11	FR	45
Troglodytes troglodytes	5231438	2016	6	FR	466
Coccothraustes coccothraustes	2494329	2017	2	FR	58
Fringilla montifringilla	2494441	2023	10	FR	121
Pernis apivorus	2480420	2024	8	FR	327
Panurus biarmicus	2493367	2022	9	DE	64
Dryocopus martius	2477872	2018	10	DE	44
Lullula arborea	2490604	2021	11	DE	7
Apus apus	5228676	2019	8	DE	167
Phylloscopus trochilus	2493052	2018	4	FR	285
Aythya ferina	2498255	2023	7	FR	126
Turdus pilaris	2490737	2019	6	DE	161
Somateria mollissima	2498352	2022	2	FR	3
Calidris pugnax	8250742	2018	11	FR	7
Bubulcus ibis	2480830	2019	7	FR	187
Corvus cornix	2482515	2022	1	FR	87
Larus cachinnans	2481181	2018	9	DE	30
Periparus ater	2487871	2018	1	DE	72
Alectoris rufa	2474051	2016	6	FR	45
Stercorarius parasiticus	2481621	2021	8	DE	12
Cinclus cinclus	2495093	2024	10	FR	33
Anthus spinoletta	2490255	2019	2	DE	38
Sterna dougallii	5229249	2020	8	FR	8
Locustella luscinioides	2493551	2024	6	DE	204
Phalacrocorax aristotelis	2481861	2016	12	FR	28
Cygnus cygnus	2498347	2018	11	DE	35
Regulus ignicapilla	6093527	2023	11	DE	113
Scolopax rusticola	2481700	2024	7	FR	7
Monticola solitarius	2490955	2022	7	FR	15
Tadorna ferruginea	2498015	2022	2	FR	9
Rissa tridactyla	2481205	2024	10	FR	59
Pyrrhocorax graculus	2482553	2016	7	DE	11
Gyps fulvus	2480389	2019	6	FR	54
Phylloscopus collybita	2493091	2022	2	DE	57
Phalaropus fulicarius	5229390	2019	9	DE	4
Larus canus	7982160	2021	2	FR	107
Aquila chrysaetos	2480506	2024	5	DE	13
Ptyonoprogne rupestris	4408796	2023	4	DE	12
Mergus serrator	2498375	2022	3	DE	60
Psittacula eupatria	5229055	2023	10	DE	22
Thalasseus sandvicensis	2481240	2017	5	DE	9
Lullula arborea	2490604	2018	6	FR	58
Carduelis citrinella	2494632	2022	6	DE	10
Sylvia undata	2492949	2016	6	FR	22
Calidris minuta	2481749	2023	7	FR	15
Calidris ferruginea	2481741	2018	7	DE	25
Carduelis citrinella	2494632	2019	11	FR	5
Thalasseus sandvicensis	2481240	2017	1	FR	21
Alectoris rufa	2474051	2018	6	FR	42
Porzana porzana	2474621	2024	5	DE	24
Picoides tridactylus	2477804	2024	6	DE	15
Emberiza hortulana	2491482	2021	8	FR	19
Falco subbuteo	2481035	2024	10	DE	21
Callipepla californica	5228080	2022	4	FR	4
Alca torda	8277073	2021	6	DE	14
Tetrax tetrax	5228228	2023	10	FR	10
Recurvirostra avosetta	2480259	2018	10	FR	42
Mareca penelope	8000602	2019	7	FR	7
Poecile montanus	2487866	2021	4	FR	16
Dendrocopos leucotos	2477927	2023	5	FR	1
Sylvia conspicillata	2492959	2017	6	FR	3
Uria aalge	2481342	2018	8	FR	8
Lymnocryptes minimus	2481835	2022	10	FR	12
Falco columbarius	9813242	2019	9	FR	8
Anthus richardi	9465111	2021	12	FR	8
Loxia pytyopsittacus	2494154	2017	12	FR	5
Carpodacus erythrinus	2494459	2021	6	FR	6
Pyrrhocorax graculus	2482553	2016	5	DE	11
Himantopus himantopus	5229126	2020	10	FR	5
Cygnus atratus	2498344	2019	3	DE	8
Netta rufina	2498180	2020	11	FR	13
Limosa lapponica	2481681	2018	3	FR	4
Tetrastes bonasia	2473663	2018	4	DE	1
Locustella naevia	2493548	2022	9	DE	3
Plectrophenax nivalis	2491719	2021	9	DE	2
Calidris fuscicollis	2481756	2024	10	FR	13
Dendrocygna bicolor	2498402	2024	4	DE	1
Carduelis corsicana	4408961	2018	8	FR	1
Passer italiae	8426551	2024	2	FR	2
Lagopus muta	5227679	2016	10	DE	1
Anas undulata	2498156	2022	1	DE	2
Nycticorax nycticorax	2480863	2018	8	DE	2
Aix sponsa	2498387	2024	4	FR	1
Aythya nyroca	2498259	2016	6	DE	2
Remiz pendulinus	2487385	2016	3	DE	1
Monticola solitarius	2490955	2020	8	FR	5
Nymphicus hollandicus	2479977	2019	2	FR	1
Aegolius funereus	5739298	2024	6	FR	2
Aegolius funereus	5739298	2022	9	DE	1
Saxicola rubicola	4408759	2018	12	DE	1
Emberiza pusilla	2491544	2024	5	DE	1
Saxicola rubetra	2492521	2019	3	FR	1
Serinus canaria	2494303	2023	4	DE	1
Motacilla flava	9701857	2016	12	FR	1
Phasianus colchicus	9752149	2024	2	FR	157
Ardea cinerea	9797180	2024	6	DE	2131
Tringa totanus	2481714	2021	8	DE	272
Arenaria interpres	2481776	2024	11	FR	124
Dendrocopos major	2477968	2023	10	DE	2053
Fringilla coelebs	2494422	2024	10	FR	2293
Corvus corone	9409796	2021	10	FR	1342
Alopochen aegyptiaca	2498252	2023	1	DE	917
Prunella modularis	5231763	2022	3	FR	529
Troglodytes troglodytes	5231438	2023	12	FR	820
Ficedula hypoleuca	2492606	2024	8	DE	221
Spatula clypeata	8332393	2023	5	DE	480
Falco tinnunculus	9616058	2024	6	DE	2018
Turdus merula	2490719	2020	7	FR	1073
Phalacrocorax aristotelis	2481861	2022	5	DE	15
Sitta europaea	2484916	2022	12	DE	992
Acrocephalus schoenobaenus	2493129	2024	4	FR	327
Pastor roseus	5845386	2018	6	FR	8
Falco tinnunculus	9616058	2016	9	FR	309
Phylloscopus trochilus	2493052	2016	5	DE	234
Poecile palustris	2487843	2023	11	FR	181
Mareca strepera	9362027	2019	5	DE	309
Passer montanus	5231198	2021	9	FR	29
Phoenicurus ochruros	5739315	2018	6	FR	218
Gavia stellata	2481958	2022	3	FR	17
Poecile palustris	2487843	2018	2	FR	95
Mareca penelope	8000602	2024	12	FR	195
Regulus ignicapilla	6093527	2023	6	FR	456
Regulus ignicapilla	6093527	2017	12	DE	17
Tringa glareola	2481713	2024	8	FR	249
Ardea purpurea	2480934	2021	5	DE	107
Curruca melanocephala	9990095	2021	1	FR	116
Egretta garzetta	2480876	2022	4	FR	871
Sylvia undata	2492949	2023	5	FR	108
Phylloscopus collybita	2493091	2022	12	FR	536
Phasianus colchicus	9752149	2016	1	FR	43
Motacilla cinerea	2490310	2022	9	FR	349
Luscinia svecica	4408732	2024	4	FR	127
Cyanistes caeruleus	2487879	2016	5	DE	427
Cygnus cygnus	2498347	2022	12	FR	42
Arenaria interpres	2481776	2024	5	DE	91
Mareca penelope	8000602	2021	3	DE	421
Chlidonias niger	2481119	2024	5	DE	340
Fringilla coelebs	2494422	2019	5	FR	1270
Anthus petrosus	2490275	2020	1	FR	35
Turdus viscivorus	2490774	2020	8	FR	128
Troglodytes troglodytes	5231438	2018	4	DE	479
Dendrocoptes medius	8773033	2022	5	FR	42
Somateria mollissima	2498352	2017	4	DE	37
Upupa epops	2498415	2023	5	DE	131
Aythya fuligula	2498261	2020	9	DE	324
Columba oenas	2495471	2019	5	DE	159
Tringa totanus	2481714	2021	9	FR	215
Picus viridis	2478523	2020	3	DE	799
Numenius arquata	2481792	2021	7	FR	85
Locustella naevia	2493548	2017	8	DE	4
Egretta garzetta	2480876	2024	6	FR	808
Thalasseus sandvicensis	2481240	2021	1	FR	49
Turdus philomelos	7901064	2023	8	FR	168
Pyrrhula pyrrhula	2494543	2022	6	FR	57
Emberiza schoeniclus	2491557	2016	4	FR	78
Poecile montanus	2487866	2016	11	DE	18
Ficedula hypoleuca	2492606	2019	9	FR	363
Emberiza calandra	7634625	2018	10	FR	23
Panurus biarmicus	2493367	2016	10	FR	16
Branta canadensis	5232437	2019	6	FR	70
Sitta europaea	2484916	2019	1	FR	173
Pica pica	5229490	2019	10	FR	750
Aythya marila	2498265	2023	3	FR	13
Alopochen aegyptiaca	2498252	2016	5	DE	185
Bucephala clangula	2498326	2017	2	FR	22
Himantopus himantopus	5229126	2018	10	FR	10
Tadorna tadorna	2498009	2019	9	FR	96
Phoenicopterus roseus	4352332	2016	4	FR	65
Emberiza citrinella	2491534	2017	3	FR	97
Charadrius alexandrinus	2480311	2024	9	FR	84
Coracias garrulus	2475365	2024	7	FR	114
Gelochelidon nilotica	2481263	2020	9	FR	17
Calidris alba	2481748	2024	12	FR	119
Athene noctua	2497266	2024	8	FR	75
Passer montanus	5231198	2019	8	FR	37
Alauda arvensis	8077224	2018	11	DE	45
Tachybaptus ruficollis	2482048	2020	4	FR	31
Aythya ferina	2498255	2016	6	FR	41
Gavia stellata	2481958	2023	1	FR	29
Anser albifrons	2498017	2017	10	DE	71
Dryobates minor	9015784	2019	1	FR	15
Phylloscopus bonelli	2493070	2024	7	DE	25
Geronticus eremita	2480770	2024	7	DE	14
Luscinia svecica	4408732	2024	7	DE	58
Cinclus cinclus	2495093	2019	11	FR	9
Acanthis flammea	5231630	2022	11	FR	9
Petronia petronia	2492350	2016	4	FR	6
Branta bernicla	5232446	2019	2	FR	45
Botaurus stellaris	2480910	2017	6	DE	10
Glareola nordmanni	2480758	2022	9	DE	6
Limosa limosa	2481685	2019	2	FR	23
Sylvia conspicillata	2492959	2018	9	FR	13
Sternula albifrons	5789279	2021	4	DE	3
Corvus cornix	2482515	2021	8	FR	25
Regulus regulus	2484596	2016	9	FR	52
Loxia curvirostra	9629160	2022	9	DE	27
Hippolais polyglotta	2493214	2016	7	FR	54
Anthus spinoletta	2490255	2018	1	DE	25
Picus canus	2478548	2021	4	FR	13
Cepphus grylle	2481312	2021	5	DE	9
Phylloscopus trochilus	2493052	2018	3	FR	34
Cygnus columbianus	2498338	2023	12	FR	59
Cygnus atratus	2498344	2019	7	FR	16
Asio flammeus	2497295	2022	11	DE	8
Calidris melanotos	2481744	2017	5	FR	3
Alca torda	8277073	2022	3	DE	8
Cygnus atratus	2498344	2022	3	FR	16
Aquila fasciata	5844449	2018	12	FR	6
Turdus torquatus	7865305	2021	2	FR	2
Poecile palustris	2487843	2019	5	FR	99
Certhia familiaris	2487603	2017	8	DE	22
Gavia arctica	2481959	2019	8	DE	5
Cygnus atratus	2498344	2019	3	FR	5
Gelochelidon nilotica	2481263	2022	9	FR	22
Pavo cristatus	9451184	2019	7	FR	2
Gavia stellata	2481958	2024	4	FR	7
Melanocorypha calandra	2490613	2016	3	FR	4
Chlidonias niger	2481119	2024	6	FR	12
Nycticorax nycticorax	2480863	2020	5	DE	23
Phylloscopus bonelli	2493070	2022	9	FR	3
Melanitta nigra	2498247	2016	4	FR	15
Sylvia atricapilla	2492956	2019	12	DE	5
Montifringilla nivalis	2492371	2017	7	FR	7
Stercorarius parasiticus	2481621	2016	5	FR	6
Tadorna ferruginea	2498015	2018	4	FR	10
Tichodroma muraria	2484918	2023	9	FR	5
Chlidonias hybrida	2481121	2023	3	FR	19
Ptyonoprogne rupestris	4408796	2019	8	DE	12
Phylloscopus fuscatus	2493075	2020	11	FR	4
Tringa nebularia	2481726	2017	11	DE	1
Ptyonoprogne rupestris	4408796	2018	6	DE	9
Podiceps nigricollis	2482065	2020	4	FR	23
Sterna paradisaea	5229230	2020	9	FR	7
Aquila chrysaetos	2480506	2018	10	DE	2
Dryobates minor	9015784	2018	11	DE	12
Curruca iberiae	10700636	2020	10	FR	2
Lyrurus tetrix	2473682	2022	3	FR	9
Curruca iberiae	10700636	2024	5	DE	2
Prunella collaris	5231770	2024	8	DE	5
Tyto alba	2497921	2020	6	DE	10
Oceanodroma leucorhoa	2482012	2019	11	FR	8
Calidris falcinellus	7537888	2019	5	DE	3
Alca torda	8277073	2021	7	FR	1
Anser caerulescens	2498167	2023	3	DE	10
Podiceps grisegena	2482051	2016	5	FR	2
Curruca cantillans	9317615	2022	3	FR	2
Aythya collaris	2498264	2024	11	DE	6
Glaucidium passerinum	5232162	2020	2	DE	2
Hydroprogne caspia	2481236	2020	3	FR	4
Luscinia calliope	2492537	2020	10	DE	1
Himantopus himantopus	5229126	2019	6	DE	3
Calidris maritima	2481743	2019	12	DE	1
Anser erythropus	2498026	2021	3	DE	5
Onychoprion anaethetus	5789286	2023	5	FR	1
Jynx torquilla	8012314	2017	3	DE	1
Spatula versicolor	9305555	2024	11	DE	4
Anas bahamensis	2498090	2018	9	DE	1
Aythya collaris	2498264	2018	12	DE	1
Sturnus unicolor	2489104	2018	9	FR	2
Crex crex	4408498	2023	7	FR	2
Calidris maritima	2481743	2022	7	FR	1
Aythya marila	2498265	2021	6	DE	1
Cygnus atratus	2498344	2017	5	DE	2
Phasianus versicolor	5227775	2023	12	FR	1
Nycticorax nycticorax	2480863	2019	1	DE	1
Mareca sibilatrix	9508460	2021	3	DE	1
Acanthis flammea	5231630	2020	2	FR	1
Emberiza schoeniclus	2491557	2022	5	DE	932
Coloeus monedula	6100954	2021	5	DE	785
Regulus ignicapilla	6093527	2024	3	DE	841
Ardea cinerea	9797180	2022	3	DE	1632
Ficedula hypoleuca	2492606	2023	5	DE	617
Certhia brachydactyla	7806848	2023	10	FR	711
Anas platyrhynchos	9761484	2023	1	FR	1135
Anas platyrhynchos	9761484	2018	8	DE	545
Columba palumbus	2495455	2023	3	FR	2113
Cisticola juncidis	2492822	2022	4	FR	689
Fringilla coelebs	2494422	2016	1	FR	535
Columba palumbus	2495455	2024	5	DE	7643
Hydrocoloeus minutus	6065841	2024	4	DE	109
Alopochen aegyptiaca	2498252	2024	1	DE	1133
Turdus philomelos	7901064	2022	5	DE	1675
Dendrocoptes medius	8773033	2024	4	DE	242
Hirundo rustica	9515886	2020	8	FR	1226
Chloris chloris	5845582	2019	4	DE	609
Anser albifrons	2498017	2024	5	DE	108
Actitis hypoleucos	2481800	2021	9	FR	372
Parus major	9705453	2019	10	DE	1019
Streptopelia decaocto	2495696	2017	5	DE	96
Actitis hypoleucos	2481800	2018	8	FR	364
Aegithalos caudatus	2495000	2022	12	FR	497
Recurvirostra avosetta	2480259	2024	4	FR	409
Dendrocopos major	2477968	2019	4	FR	338
Falco tinnunculus	9616058	2019	9	DE	532
Tachybaptus ruficollis	2482048	2023	9	DE	734
Sturnus vulgaris	9809229	2017	10	DE	319
Ardea cinerea	9797180	2023	3	FR	1035
Phoenicurus phoenicurus	5739317	2020	8	DE	83
Branta canadensis	5232437	2018	3	FR	113
Motacilla alba	9687165	2023	11	DE	387
Podiceps grisegena	2482051	2024	10	DE	122
Carduelis carduelis	2494686	2017	10	FR	305
Dryocopus martius	2477872	2022	1	FR	84
Milvus milvus	5229168	2023	4	FR	426
Aythya fuligula	2498261	2018	11	DE	188
Motacilla cinerea	2490310	2020	5	FR	139
Periparus ater	2487871	2017	2	FR	73
Phylloscopus trochilus	2493052	2018	6	FR	77
Haliaeetus albicilla	2480449	2021	11	DE	124
Limosa lapponica	2481681	2022	9	DE	64
Psittacula krameri	2479226	2023	3	DE	238
Sitta europaea	2484916	2016	1	FR	108
Acrocephalus schoenobaenus	2493129	2023	6	DE	212
Scolopax rusticola	2481700	2022	2	FR	18
Larus argentatus	2481139	2020	11	FR	135
Regulus ignicapilla	6093527	2022	8	DE	88
Anser cygnoides	2498034	2019	2	DE	7
Himantopus himantopus	5229126	2018	7	FR	94
Chroicocephalus ridibundus	6065824	2016	8	DE	95
Tringa ochropus	2481728	2024	5	FR	20
Lanius senator	2492867	2018	8	FR	17
Limosa lapponica	2481681	2021	5	DE	32
Alca torda	8277073	2017	6	DE	10
Hippolais icterina	2493220	2017	5	DE	120
Anser anser	2498036	2020	7	FR	65
Xema sabini	2481221	2024	1	FR	1
Passer montanus	5231198	2018	4	FR	42
Dendrocoptes medius	8773033	2018	7	DE	47
Lyrurus tetrix	2473682	2018	11	FR	1
Emberiza cirlus	7626513	2024	4	DE	25
Lanius senator	2492867	2021	8	FR	30
Anser indicus	2498035	2022	8	DE	41
Circus macrourus	2480491	2023	5	DE	2
Alcedo atthis	2475532	2017	5	FR	48
Anser indicus	2498035	2016	12	DE	3
Tringa erythropus	2481725	2020	2	FR	13
Ardea purpurea	2480934	2020	9	DE	15
Charadrius morinellus	2480281	2019	8	DE	9
Calidris falcinellus	7537888	2021	7	DE	1
Emberiza cia	2491498	2016	7	FR	9
Tichodroma muraria	2484918	2020	6	FR	4
Circus pygargus	2480495	2018	9	DE	5
Plegadis falcinellus	2480773	2023	7	DE	10
Anas bahamensis	2498090	2022	5	DE	1
Tetrastes bonasia	2473663	2024	4	FR	4
Numenius phaeopus	2481784	2022	2	FR	2
Monticola saxatilis	2490956	2016	9	FR	9
Sterna paradisaea	5229230	2016	9	FR	2
Aratinga mitrata	2479153	2020	4	FR	1
Calandrella brachydactyla	2490681	2017	10	DE	2
Microcarbo pygmaeus	10095118	2020	1	DE	2
Crex crex	4408498	2019	4	FR	1
Tichodroma muraria	2484918	2019	5	DE	4
Gallinago media	2481831	2021	4	FR	1
Luscinia svecica	4408732	2023	2	FR	3
Aegolius funereus	5739298	2023	8	FR	3
Sterna hirundo	9367409	2021	3	DE	1
Curruca subalpina	9478399	2016	8	FR	2
Cettia cetti	2493012	2021	7	DE	1
Agapornis fischeri	2479544	2017	3	FR	1
Puffinus gravis	5229343	2021	7	FR	1
Glaucidium passerinum	5232162	2022	1	FR	1
Gelochelidon nilotica	2481263	2020	10	DE	1
Egretta garzetta	2480876	2016	11	DE	1
Calidris melanotos	2481744	2021	7	FR	1
Branta bernicla	5232446	2021	6	FR	1
Vanellus vanellus	2480242	2023	10	FR	388
Passer domesticus	5231190	2017	6	FR	476
Corvus frugilegus	2482513	2021	6	DE	122
Columba palumbus	2495455	2023	4	FR	3486
Columba palumbus	2495455	2022	4	DE	3839
Podiceps cristatus	2482054	2019	12	DE	232
Oriolus oriolus	2488949	2022	5	FR	575
Phalacrocorax carbo	2481890	2020	3	DE	722
Ardea cinerea	9797180	2016	6	DE	172
Motacilla alba	9687165	2016	6	FR	207
Cygnus olor	2498343	2020	8	DE	682
Calonectris diomedea	2481521	2024	10	FR	41
Buteo buteo	2480537	2019	9	FR	474
Riparia riparia	2489160	2021	7	DE	197
Ciconia nigra	2481909	2021	8	DE	28
Cygnus olor	2498343	2021	10	FR	411
Fringilla coelebs	2494422	2021	12	DE	1485
Melanitta fusca	2498238	2023	2	FR	35
Turdus philomelos	7901064	2017	4	FR	269
Vanellus vanellus	2480242	2019	10	FR	223
Linaria cannabina	8104397	2024	11	DE	229
Corvus frugilegus	2482513	2024	9	DE	605
Thalasseus sandvicensis	2481240	2023	10	FR	372
Motacilla flava	9701857	2024	9	DE	573
Chloris chloris	5845582	2023	7	DE	1702
Anser anser	2498036	2023	1	FR	275
Carduelis carduelis	2494686	2019	4	DE	712
Chlidonias leucopterus	2481120	2019	6	FR	4
Linaria cannabina	8104397	2020	7	DE	348
Aegithalos caudatus	2495000	2020	3	FR	384
Grus grus	2474950	2019	5	DE	126
Calidris temminckii	2481740	2023	7	DE	41
Luscinia svecica	4408732	2020	4	DE	334
Milvus milvus	5229168	2024	7	DE	1000
Cinclus cinclus	2495093	2017	9	FR	35
Chroicocephalus ridibundus	6065824	2021	2	FR	846
Regulus ignicapilla	6093527	2016	6	FR	70
Vanellus vanellus	2480242	2022	7	DE	478
Anas crecca	8214667	2023	7	DE	269
Lymnocryptes minimus	2481835	2023	11	FR	6
Lullula arborea	2490604	2021	4	DE	110
Ardea alba	9752617	2018	11	FR	257
Chroicocephalus ridibundus	6065824	2016	11	DE	135
Pyrrhocorax pyrrhocorax	2482552	2024	7	FR	90
Sterna hirundo	9367409	2018	4	FR	190
Tringa totanus	2481714	2024	2	FR	140
Dendrocoptes medius	8773033	2019	4	DE	67
Phylloscopus collybita	2493091	2016	9	DE	230
Streptopelia turtur	2495708	2016	6	FR	146
Larus michahellis	9413670	2021	2	DE	200
Larus michahellis	9413670	2023	1	FR	655
Jynx torquilla	8012314	2019	4	FR	84
Lophophanes cristatus	2487883	2024	6	FR	358
Anser albifrons	2498017	2020	12	DE	164
Puffinus mauretanicus	5229360	2021	11	FR	10
Burhinus oedicnemus	2482100	2020	9	FR	35
Mareca strepera	9362027	2017	9	FR	58
Emberiza hortulana	2491482	2017	6	FR	11
Aythya marila	2498265	2022	3	DE	40
Anas crecca	8214667	2021	6	FR	16
Oenanthe oenanthe	5231240	2021	10	FR	127
Linaria cannabina	8104397	2018	6	FR	214
Alcedo atthis	2475532	2018	7	DE	68
Aegithalos caudatus	2495000	2016	4	DE	101
Sylvia borin	2492942	2018	7	FR	67
Calidris alpina	2481759	2017	9	FR	110
Actitis hypoleucos	2481800	2018	4	FR	99
Phasianus colchicus	9752149	2022	2	DE	200
Tetrax tetrax	5228228	2016	10	FR	5
Spatula querquedula	9274012	2016	3	DE	33
Circus cyaneus	2480487	2019	10	FR	80
Curruca iberiae	10700636	2022	6	FR	40
Podiceps nigricollis	2482065	2022	2	FR	80
Pyrrhula pyrrhula	2494543	2017	10	FR	74
Asio flammeus	2497295	2020	10	DE	77
Ichthyaetus audouinii	7406504	2024	9	FR	15
Linaria cannabina	8104397	2016	5	FR	236
Larus michahellis	9413670	2016	9	FR	193
Vanellus miles	5229134	2021	12	DE	3
Corvus cornix	2482515	2022	12	FR	28
Branta ruficollis	5232451	2024	1	DE	20
Coturnix coturnix	2474156	2022	5	FR	83
Tadorna ferruginea	2498015	2016	8	FR	7
Sylvia hortensis	2492944	2022	5	FR	43
Falco peregrinus	2481047	2021	10	FR	118
Certhia familiaris	2487603	2017	6	DE	21
Calidris temminckii	2481740	2023	11	FR	5
Pluvialis squatarola	2480327	2021	1	FR	98
Carduelis citrinella	2494632	2024	1	FR	17
Monticola saxatilis	2490956	2021	6	FR	26
Nucifraga caryocatactes	2482613	2022	8	FR	72
Calidris alba	2481748	2020	12	FR	51
Aegypius monachus	5229165	2021	9	FR	8
Charadrius hiaticula	9566659	2018	11	FR	20
Platalea leucorodia	2480801	2019	6	FR	47
Petronia petronia	2492350	2024	7	FR	57
Linaria flavirostris	7668711	2022	9	DE	1
Poecile montanus	2487866	2024	9	FR	30
Fulmarus glacialis	2481433	2022	7	FR	32
Calonectris diomedea	2481521	2024	5	FR	114
Hydrobates pelagicus	4408455	2024	9	FR	14
Remiz pendulinus	2487385	2022	9	DE	20
Acrocephalus scirpaceus	2493118	2021	10	FR	54
Nucifraga caryocatactes	2482613	2021	6	FR	5
Falco columbarius	9813242	2021	9	DE	33
Puffinus puffinus	5229380	2017	5	FR	4
Ichthyaetus melanocephalus	8151548	2018	5	DE	35
Mergus serrator	2498375	2018	10	FR	10
Streptopelia orientalis	2495681	2022	2	DE	18
Callonetta leucophrys	2498384	2017	4	FR	1
Rissa tridactyla	2481205	2020	9	FR	21
Recurvirostra avosetta	2480259	2016	2	FR	29
Larus cachinnans	2481181	2019	10	DE	29
Pandion haliaetus	2480726	2023	11	DE	9
Gavia stellata	2481958	2020	11	FR	5
Oxyura jamaicensis	2498305	2018	10	FR	2
Callonetta leucophrys	2498384	2024	4	DE	18
Branta hutchinsii	5232452	2024	10	DE	1
Tringa nebularia	2481726	2019	2	DE	1
Phoenicopterus roseus	4352332	2021	3	DE	1
Calidris temminckii	2481740	2021	4	FR	21
Carduelis citrinella	2494632	2021	6	DE	9
Anthus richardi	9465111	2020	12	FR	4
Pluvialis dominica	2480328	2024	11	FR	1
Aix galericulata	2498388	2017	3	FR	4
Passer hispaniolensis	5231209	2022	5	FR	2
Pluvialis dominica	2480328	2023	3	FR	6
Alca torda	8277073	2018	7	FR	7
Limnodromus scolopaceus	2481670	2022	9	DE	1
Hydrocoloeus minutus	6065841	2022	11	DE	9
Anthus petrosus	2490275	2017	6	FR	6
Aegolius funereus	5739298	2020	5	DE	5
Lyrurus tetrix	2473682	2022	11	FR	2
Cygnus atratus	2498344	2020	1	DE	6
Locustella luscinioides	2493551	2021	8	FR	13
Anser rossii	2498161	2019	11	DE	1
Tyto alba	2497921	2017	8	DE	2
Charadrius alexandrinus	2480311	2023	7	DE	18
Phylloscopus fuscatus	2493075	2018	1	FR	3
Lanius excubitor	9444556	2017	3	DE	7
Turdus torquatus	7865305	2016	3	DE	2
Anser fabalis	2498027	2018	1	DE	1
Calidris maritima	2481743	2023	8	FR	1
Turdus torquatus	7865305	2017	9	DE	3
Himantopus himantopus	5229126	2017	8	DE	1
Phylloscopus humei	7341522	2018	1	FR	5
Coturnix coturnix	2474156	2016	4	DE	1
Picoides tridactylus	2477804	2020	10	FR	1
Callonetta leucophrys	2498384	2020	3	DE	3
Gavia stellata	2481958	2016	7	FR	1
Fringilla coelebs	2494422	2023	5	DE	4852
Chroicocephalus ridibundus	6065824	2018	10	DE	295
Limosa lapponica	2481681	2023	9	FR	136
